# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G011611        28.144139       -14.215193       23.0328       23.0362       20.5234       0.72860000       0.59040000       0.75230000       -1.0000000       9.27538       3.19930
G011788        28.276887       -14.214509       22.8160       22.9157       20.2912       0.80340000       0.79250000        1.0415000       -1.0000000       9.99576       1.65827
G011969        28.178548       -14.213790       22.4340       22.4846       19.5107       0.64740000       0.63510000       0.65850000       -1.0000000       9.84997      0.808121
G011916        28.270309       -14.213491       22.6147       22.5817       99.0000       0.71290000       0.71010000       0.71910000       -1.0000000       9.08664      0.488566
G011893        28.270214       -14.213810       22.4991       22.5321       19.1005       0.76840000       0.74550000       0.79950000       -1.0000000       10.5052       2.21945
G011978        28.175641       -14.214526       21.4659       21.5206       19.1078       0.76810000       0.75310000       0.78470000       -1.0000000       10.3093       1.44132
G012063        28.134694       -14.213182       22.6667       22.7056       19.7127       0.72610000       0.70290000       0.74750000       -1.0000000       9.91343       2.87828
G012269        28.211557       -14.214185       20.8516       20.9801       18.2870       0.82140000       0.80680000       0.83460000       -1.0000000       10.9133       6.04801
G011928        28.229810       -14.214381       22.2530       22.2968       19.5765       0.77370000       0.75600000       0.79620000       -1.0000000       10.3329       2.20074
G012129        28.069783       -14.214051       21.6998       21.9085       19.5864       0.69750000       0.68680000       0.70780000       -1.0000000       9.62577       1.19564
G012308        28.280269       -14.211741       22.8717       22.8411       20.6250       0.84700000       0.83150000       0.86010000       -1.0000000       9.62782       2.01978
G012330        28.134808       -14.211815       22.3966       22.4012       19.6162       0.86330000       0.77930000       0.94870000       -1.0000000       9.99355       2.79213
G012389        28.095472       -14.212103       22.0282       22.0822       19.7862       0.84930000       0.83020000       0.86730000       -1.0000000       9.86720       5.55127
G012537        28.265783       -14.211119       22.9666       22.9875       23.3440       0.63300000       0.62850000       0.63930000       -1.0000000       8.96601       1.46517
G012631        28.073702       -14.210663       22.8951       22.8879       21.2147       0.63640000       0.59840000       0.65710000       -1.0000000       9.35464       1.36363
G012695        28.214001       -14.209948       22.8739       22.8979       19.4294       0.87770000       0.85140000       0.89660000       -1.0000000       10.3434       4.88513
G012700        28.203659       -14.210688       18.4366       21.1006       18.5539       0.83760000       0.81260000       0.87570000       -1.0000000       11.2911       2.66215
G013110        28.255247       -14.209588       21.2996       21.4892       18.1624       0.76550000       0.74620000       0.78400000       -1.0000000       11.0567       4.24592
G013311        28.204242       -14.207566       22.5649       22.7562       20.5873       0.80100000       0.79110000       0.81110000       -1.0000000       9.68259       2.91103
G013350        28.125811       -14.207070       23.0459       23.0862       20.6964       0.69610000       0.68320000       0.70910000       -1.0000000       9.66853       3.61165
G013309        28.116245       -14.209269       20.7807       21.2567       18.7559       0.65880000       0.64620000       0.66960000       -1.0000000       10.2313       3.62683
G013486        28.051131       -14.206053       22.3600       22.3452       19.9210       0.88920000       0.87740000       0.90010000       -1.0000000       9.72283       1.24285
G013499        28.159156       -14.207651       20.7740       21.0000       18.2230       0.82150000       0.80630000       0.83480000       -1.0000000       10.7567       3.03917
G013588        28.097346       -14.206055       22.1394       22.2979       18.9768       0.84930000       0.83110000       0.86740000       -1.0000000       10.5703       6.28699
G013597        28.263757       -14.205950       22.2310       22.2643       20.0700       0.84040000       0.83090000       0.84860000       -1.0000000       9.79418       4.13952
G013419        28.108638       -14.206570       22.7990       22.8418       20.2181       0.86080000       0.84300000       0.87590000       -1.0000000       9.63933       12.2045
G013844        28.024157       -14.204465       22.8669       22.8386       20.0041       0.73270000       0.73010000       0.73870000       -1.0000000       10.0911       1.22734
G013696        28.119526       -14.205522       21.8207       21.8092       19.1607       0.70450000       0.68390000       0.72350000       -1.0000000       10.0889       2.01843
G013655        28.283752       -14.206335       22.0661       22.5009       21.2300       0.82640000       0.81200000       0.85120000       -1.0000000       9.50997       2.67459
G013720        28.210707       -14.208368       21.2078       21.3684       18.1516       0.88350000       0.86160000       0.90410000       -1.0000000       10.8764       5.65307
G013732        28.188813       -14.205528       22.1037       22.1976       20.0057       0.80240000       0.79500000       0.81000000       -1.0000000       9.83470       3.84674
G014033        28.044568       -14.203428       22.8190       22.7825       19.7615       0.70860000       0.68070000       0.78590000       -1.0000000       10.1360      0.568124
G014043        28.212754       -14.203442       23.1417       23.1656       20.2910       0.84530000       0.82360000       0.87710000       -1.0000000       9.81441       17.1635
G013946        28.129021       -14.204781       23.0313       23.3641       21.0485       0.74760000       0.72620000       0.84120000       -1.0000000       9.74098       5.72585
G014148        28.112848       -14.203373       21.8603       21.8885       18.5020       0.84730000       0.84040000       0.85450000       -1.0000000       10.8996       12.7569
G014097        28.049576       -14.204097       21.6484       21.7179       19.5745       0.69370000       0.68600000       0.69990000       -1.0000000       9.64761      0.819090
G014020        28.055677       -14.203899       22.0891       22.1371       20.5942       0.69550000       0.66590000       0.70810000       -1.0000000       9.29072       1.54167
