# ID    RA         DEC         Z      EL TYPE AUTO_R ERR_AUTO_R AP_R   ERR_AP_R AUTO_I ERR_AUTO_I AP_I   ERR_AP_I AUTO_Z ERR_AUTO_Z AP_Z   ERR_AP_Z AUTO_J ERR_AUTO_J AP_J   ERR_AP_J AUTO_KS ERR_AUTO_KS AP_KS  ERR_AP_KS STEL_MASS
  1532  28.183664  -14.01098   0.8413 1  3    23.368 0.022      23.643 0.016    22.61  0.013      22.868 0.009    22.275 0.017      22.536 0.012    24.009 0.0        24.44  0.0      21.313  0.0         21.759 0.0       nan    
  3013  28.128627  -13.962331  0.8224 1  -4   24.823 0.064      24.869 0.051    23.553 0.024      23.687 0.021    23.231 0.03       23.339 0.026    13.274 0.0        13.05  0.0      12.764  0.0         12.555 0.0       nan    
  3014  28.126345  -13.953463  0.8474 1  6    22.098 0.01       22.788 0.008    21.363 0.006      21.991 0.005    21.103 0.008      21.7   0.006    11.849 0.0        13.05  0.0      11.339  0.0         12.555 0.0       nan    
  3015  28.231959  -13.947306  0.8457 0  -4   23.205 0.019      23.444 0.013    22.016 0.008      22.243 0.005    21.293 0.007      21.512 0.005    98.986 nan       98.732 nan     98.991  nan        98.752 nan      nan    
  5004  28.130333  -13.946144  0.8292 1  3    24.521 0.046      24.562 0.039    23.311 0.018      23.38  0.016    22.741 0.018      22.799 0.016    19.75  0.035      24.178 0.05     23.131  0.084       22.819 0.084     3.8E9    
  5010  28.142258  -13.938281  0.8691 1  0    24.611 0.038      24.583 0.039    23.866 0.023      23.828 0.023    23.532 0.029      23.49  0.03     23.604 0.23       23.109 0.22     22.933  0.209       22.572 0.218     3.6E9    
  5011  28.143371  -13.938303  0.8691 1  0    24.23  0.028      24.186 0.027    23.699 0.021      23.649 0.02     23.383 0.027      23.332 0.026    23.431 0.196      22.904 0.18     23.142  0.231       22.733 0.232     3.4E9    
  5015  28.206679  -13.977392  0.846  0  -2   23.939 0.019      24.02  0.016    22.768 0.008      22.833 0.006    22.075 0.007      22.133 0.006    21.814 0.089      21.549 0.09     21.081  0.08        20.831 0.081     3.2E10   
  5020  28.225229  -13.980014  0.8387 1  6    22.226 0.011      23.088 0.01     21.405 0.006      22.143 0.005    21.07  0.008      21.723 0.006    20.591 0.053      20.901 0.067    19.967  0.052       20.239 0.062     9.3E10   
  5027  28.198604  -14.013047  0.8381 1  7    nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan    nan        nan   nan      nan    
  5034  28.181696  -13.977425  0.8304 0  0    25.013 0.048      24.955 0.053    23.722 0.018      23.66  0.02     23.071 0.017      23.006 0.019    23.168 0.167      22.561 0.144    22.434  0.149       21.981 0.139     7.1E9    
  5042  28.182488  -14.009394  0.8287 1  -1   23.99  0.02       23.939 0.021    22.766 0.008      22.733 0.009    22.181 0.008      22.141 0.009    98.986 nan       98.732 nan     98.991  nan        98.752 nan      nan    
  5049  28.179425  -13.907953  0.8447 1  1    23.599 0.023      23.843 0.019    22.35  0.009      22.581 0.008    21.752 0.009      21.944 0.007    98.986 nan       98.732 nan     98.991  nan        98.752 nan      nan    
  5063  28.195446  -13.902383  0.8402 0  -5   23.741 0.019      23.726 0.017    22.593 0.008      22.58  0.007    21.96  0.008      21.944 0.007    98.986 nan       98.732 nan     98.991  nan        98.752 nan      nan    
