# ID    RA         DEC         Z      EL TYPE AUTO_R ERR_AUTO_R AP_R   ERR_AP_R AUTO_I ERR_AUTO_I AP_I   ERR_AP_I AUTO_Z ERR_AUTO_Z AP_Z   ERR_AP_Z AUTO_J ERR_AUTO_J AP_J   ERR_AP_J AUTO_KS ERR_AUTO_KS AP_KS  ERR_AP_KS STEL_MASS
  306   28.207234  -13.974375  0.8539 1  4    23.074 0.014      23.558 0.01     22.023 0.006      22.448 0.005    21.381 0.006      21.747 0.004    20.882 0.058      20.999 0.07     20.004  0.05        20.061 0.057     1.1E11   
  327   28.167655  -13.982839  0.8247 1  8    22.701 0.009      22.745 0.007    22.404 0.008      22.477 0.007    22.32  0.013      22.375 0.011    22.601 0.13       22.324 0.13     22.499  0.151       22.261 0.153     2.2E9    
  328   28.195758  -13.983689  0.8403 0  3    24.603 0.053      24.698 0.043    23.539 0.023      23.623 0.019    22.848 0.021      22.966 0.018    22.653 0.136      22.415 0.138    22.1    0.132       21.876 0.135     1.2E10   
  332   28.165374  -13.982192  0.8322 0  -2   23.274 0.012      23.407 0.009    22.114 0.005      22.233 0.004    21.499 0.005      21.614 0.004    21.185 0.067      21.023 0.071    20.405  0.059       20.252 0.062     5.1E10   
  344   28.158474  -13.981814  0.8249 0  -5   23.702 0.015      23.729 0.012    22.491 0.006      22.526 0.005    21.864 0.006      21.887 0.005    21.593 0.082      21.297 0.081    20.829  0.071       20.54  0.07      3.9E10   
  347   28.161051  -13.981764  0.8463 1  -5   23.624 0.009      23.552 0.011    22.719 0.005      22.648 0.006    22.294 0.006      22.218 0.006    22.369 0.116      21.761 0.1      21.801  0.113       21.187 0.097     1.1E10   
  377   28.171864  -13.978583  0.8379 1  0    23.299 0.021      23.579 0.016    22.359 0.011      22.629 0.008    21.902 0.012      22.146 0.009    21.409 0.076      21.416 0.086    20.569  0.064       20.534 0.071     6.0E10   
  387   28.165283  -13.973899  0.8293 0  -5   22.91  0.009      23.299 0.008    21.626 0.004      21.987 0.003    20.87  0.003      21.259 0.003    20.468 0.051      20.383 0.055    19.636  0.044       19.583 0.047     1.7E11   
  394   28.155802  -13.975849  0.8329 1  3    23.811 0.022      24.019 0.016    22.781 0.011      22.976 0.007    22.359 0.012      22.573 0.009    22.014 0.1        21.901 0.106    21.253  0.089       21.201 0.097     1.6E10   
  396   28.146701  -13.977757  0.828  0  0    24.73  0.035      24.687 0.042    23.575 0.015      23.527 0.017    22.968 0.014      22.9   0.017    22.962 0.151      22.209 0.121    22.436  0.154       21.735 0.13      7.1E9    
  397   28.168728  -13.977136  0.8314 0  -2   23.606 0.012      23.603 0.011    22.35  0.005      22.357 0.004    21.681 0.004      21.679 0.004    21.422 0.074      21.052 0.071    20.599  0.064       20.256 0.061     6.0E10   
  418   28.162169  -13.975366  0.8299 0  -4   23.66  0.015      23.722 0.012    22.345 0.005      22.41  0.004    21.625 0.005      21.685 0.004    21.261 0.07       20.994 0.07     20.396  0.059       20.135 0.059     9.6E10   
  432   28.220205  -13.973153  0.8526 0  -4   23.491 0.027      23.78  0.018    22.194 0.01       22.525 0.007    21.558 0.009      21.885 0.007    21.08  0.064      21.165 0.076    20.453  0.061       20.453 0.068     6.3E10   
  436   28.1534    -13.974197  0.837  0  -4   23.822 0.015      23.846 0.014    22.626 0.006      22.641 0.006    21.993 0.006      21.998 0.005    21.808 0.09       21.43  0.086    21.092  0.082       20.74  0.079     2.0E10   
  439   28.165894  -13.973339  0.8294 0  -4   22.763 0.03       24.012 0.016    21.527 0.012      22.729 0.006    20.963 0.012      22.032 0.005    20.211 0.051      21.246 0.08     19.556  0.049       20.408 0.068     1.4E11   
  445   28.179769  -13.972752  0.827  0  -1   23.123 0.014      23.249 0.011    21.928 0.006      22.058 0.005    21.279 0.005      21.385 0.004    21.02  0.062      20.805 0.064    20.225  0.054       20.028 0.056     6.5E10   
  455   28.168072  -13.972959  0.8295 0  -1   24.218 0.015      24.15  0.018    22.969 0.006      22.893 0.007    22.3   0.006      22.222 0.006    22.285 0.112      21.563 0.092    21.413  0.094       20.79  0.08      1.4E10   
  468   28.16931   -13.970718  0.8272 0  -5   22.984 0.016      23.373 0.01     21.789 0.006      22.122 0.004    21.078 0.006      21.426 0.004    20.559 0.05       20.678 0.06     19.757  0.044       19.881 0.052     1.2E11   
  474   28.166042  -13.971456  0.8235 0  -5   24.315 0.024      24.379 0.022    23.206 0.011      23.228 0.009    22.579 0.01       22.601 0.009    22.377 0.113      22.066 0.111    21.676  0.105       21.36  0.102     1.7E10   
  477   28.168582  -13.970008  0.8306 0  3    23.912 0.018      24.002 0.018    22.714 0.007      22.773 0.007    22.014 0.006      22.056 0.007    21.875 0.092      21.404 0.084    21.069  0.081       20.632 0.075     3.3E10   
  491   28.174246  -13.970323  0.8278 0  0    23.433 0.009      23.427 0.009    22.381 0.004      22.36  0.004    21.751 0.004      21.727 0.004    21.745 0.087      21.219 0.077    20.974  0.076       20.438 0.067     2.9E10   
